collection_id,mms_id,title,Num of Titles with Digital Representations (Active),uri,url,handle
81284603340002171,99245209336902171,Measure Melb Complete,0,http://hdl.handle.net/1959.14/123950,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209336902171,1959.14/123950
81284603340002171,99245209337302171,Drunken Complete,0,http://hdl.handle.net/1959.14/124134,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209337302171,1959.14/124134
81284603340002171,99245209337402171,Pessoptimist Act 1 Complete,0,http://hdl.handle.net/1959.14/124099,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209337402171,1959.14/124099
81284603340002171,99245209338002171,Loco Briefing 2,0,http://hdl.handle.net/1959.14/123991,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209338002171,1959.14/123991
81284603340002171,99245209338702171,Loco Workers Complete,0,http://hdl.handle.net/1959.14/124002,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209338702171,1959.14/124002
81284603340002171,99245209338902171,KIN Interview Burvill AIF,0,http://hdl.handle.net/1959.14/124128,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209338902171,1959.14/124128
81284603340002171,99245209339002171,Sawung 320x240 Part 3 Video Excerpts,0,http://hdl.handle.net/1959.14/100569,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209339002171,1959.14/100569
81284603340002171,99245209339502171,Refugee Complete,0,http://hdl.handle.net/1959.14/123941,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209339502171,1959.14/123941
81284603340002171,99245209340102171,Pessoptimist Act 2 Complete,0,http://hdl.handle.net/1959.14/124106,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209340102171,1959.14/124106
81284603340002171,99245209340302171,Whispers 320x240Edit,0,http://hdl.handle.net/1959.14/100614,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209340302171,1959.14/100614
81284603340002171,99245209340702171,Adios Cha Cha Video Edit Abridged Performance,0,http://hdl.handle.net/1959.14/15498,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209340702171,1959.14/15498
81284603340002171,99245209340902171,Idol Complete,0,http://hdl.handle.net/1959.14/124044,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209340902171,1959.14/124044
81284603340002171,99245209341702171,Sawung Part 2 Video Excerpts,0,http://hdl.handle.net/1959.14/124068,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209341702171,1959.14/124068
81284603340002171,99245209342102171,Drunken Review 1,0,http://hdl.handle.net/1959.14/95810,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209342102171,1959.14/95810
81284603340002171,99245209343002171,Measure Syd Complete,0,http://hdl.handle.net/1959.14/123953,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209343002171,1959.14/123953
81284603340002171,99245209343502171,Sawung Part 1 Video Excerpts,0,http://hdl.handle.net/1959.14/124059,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209343502171,1959.14/124059
81284603340002171,99245209343702171,Refugee 320x240Edit,0,http://hdl.handle.net/1959.14/100617,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209343702171,1959.14/100617
81284603340002171,99245209344102171,KIN Music,0,http://hdl.handle.net/1959.14/124122,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209344102171,1959.14/124122
81284603340002171,99245209344302171,KIN Doco Complete,0,http://hdl.handle.net/1959.14/124116,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209344302171,1959.14/124116
81284603340002171,99245209344702171,Drunken Review 2,0,http://hdl.handle.net/1959.14/100156,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209344702171,1959.14/100156
81284603340002171,99245209345402171,KIN Doco Edit,0,http://hdl.handle.net/1959.14/124119,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209345402171,1959.14/124119
81284603340002171,99245209345702171,Measure 320x240 Syd Edit,0,http://hdl.handle.net/1959.14/100575,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209345702171,1959.14/100575
81284603340002171,99245209346102171,Whispers Edit,0,http://hdl.handle.net/1959.14/123962,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209346102171,1959.14/123962
