Collection Name,Collection Id,MMS Id,Title,Suppressed From Discovery,Uniform Resource Identifier,Permalink,Rep Label,File Label
Sidetrack Theatre Collection,81284603340002171,99245209222702171,Mesh 1980 4,No,http://hdl.handle.net/1959.14/94006,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222702171,Mesh 1980 4,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209222802171,Woman StudioProgram,No,http://hdl.handle.net/1959.14/97521,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222802171,Woman StudioProgram,Other (15)
Sidetrack Theatre Collection,81284603340002171,99245209222902171,DownUnder 8,No,http://hdl.handle.net/1959.14/93464,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222902171,DownUnder 8,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209223002171,Mesh 1980 1,No,http://hdl.handle.net/1959.14/93985,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223002171,Mesh 1980 1,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209223102171,Heaven Flyer,No,http://hdl.handle.net/1959.14/99808,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223102171,Heaven Flyer,Flyer
Sidetrack Theatre Collection,81284603340002171,99245209223202171,Heaven_SydneyProgram,No,http://hdl.handle.net/1959.14/100350,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223202171,Heaven_SydneyProgram,Other
Sidetrack Theatre Collection,81284603340002171,99245209223302171,Heaven PICA Promo,No,http://hdl.handle.net/1959.14/99811,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223302171,Heaven PICA Promo,Other (14)
Sidetrack Theatre Collection,81284603340002171,99245209223402171,KIN PressKit,No,http://hdl.handle.net/1959.14/94902,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223402171,KIN PressKit,Other
Sidetrack Theatre Collection,81284603340002171,99245209223502171,Woman Sidetrack Invitation,No,http://hdl.handle.net/1959.14/97512,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223502171,Woman Sidetrack Invitation,Other
Sidetrack Theatre Collection,81284603340002171,99245209223602171,Woman Photo 15,No,http://hdl.handle.net/1959.14/97643,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223602171,Woman Photo 15,JPEG 2000 Image (48)
